Edad/Canton,SANJOSE,ESCAZU,DESAMPARADO,PURISCAL,TARRAZU,ASERRI,MORA,GOICOECHEA,SANTA ANA,ALAJUELITA,VAZQUEZ DE CORONADO,ACOSTA,TIBAS,MORAVIA,MONTES DE OCA,TURRUBARES,DOTA,CURRIDABAT,PEREZ ZELEDON,LEON CORTES CASTRO,ALAJUELA,SAN RAMON,GRECIA,SAN MATEO,ATENAS,NARANJO,PALMARES,POAS,OROTINA,SAN CARLOS,ZARCERO,VALVERDE VEGA,UPALA,LOS CHILES,GUATUSO,CARTAGO,PARAISO,LA UNION,JIMENEZ,TURRIALBA,ALVARADO,OREAMUNO,EL GUARCO,CENTRAL,BARVA,SANTO DOMINGO,SANTA BARBARA,SAN RAFAEL,SAN ISIDRO,BELEN,FLORES,SAN PABLO,SARAPIQUI,LIBERIA,NICOYA,SANTA CRUZ,BAGACES,CARRILLO,CAÑAS,ABANGARES,TILARAN,NANDAYURE,LA CRUZ,HOJANCHA,PUNTARENAS,ESPARZA,BUENOS AIRES,MONTES DE ORO,OSA,QUEPOS,GOLFITO,COTO BRUS,PARRITA,CORREDORES,GARABITO,CENTRAL,POCOCI,SIQUIRRES,TALAMANCA,MATINA,GUACIMO
15 a 19,7.9685923933466505,7.628396261181279,8.889954535813422,9.93369426364134,11.405544022469167,9.549421554698599,9.491899852724595,8.5110581271068,7.660786762410241,9.576212241653419,9.039854494399949,10.608486789431545,7.5568280409508946,7.932931274438333,7.7110822973076045,10.639097744360901,10.397295012679628,8.05407903859487,10.457733747921036,11.584158415841586,8.664503187130652,9.58139308091767,9.672342621259029,8.444148936170212,8.472844454924152,9.275561668959192,9.142532651902329,9.516030222585256,9.11284873057245,10.351665299827411,10.635857096034087,9.767492394611038,11.38975013678643,11.464254952627046,10.653371818420363,9.171562321800364,9.899915182357931,8.761393893456164,10.033898305084746,8.863384562938553,9.738351755981531,9.932862799104837,9.606481481481481,8.392738918228149,8.421559191530317,8.080415675229446,8.940433409561145,8.266428783823967,8.598023222339506,8.295923864248518,7.666731859964796,7.817407691770782,11.480954076183696,9.058669818951035,9.199628454214723,8.928507242730312,9.667424085932659,9.538976462966962,9.292002106688736,10.21606648199446,8.945880452342488,10.198092443140132,11.148752694795196,10.364303868963571,9.38327592473993,9.42347288949897,11.562291063071093,9.551597051597053,9.808961444946162,10.596992019643952,9.64808020257351,9.939977232743455,10.01269035532995,9.748472360380845,9.295282469423412,9.697766637217233,10.322385107435116,10.445578109949698,10.933971037597981,11.324397374372552,10.988957768306857
20 a 24,9.08473592953726,8.489396629702837,9.802004850742827,9.982359024271549,9.463915007937478,9.77944658683445,9.167893961708394,9.474636191729015,9.069622229160162,9.807233704292528,9.90459172277354,9.027221777421937,8.927641853201457,8.761349327324542,11.8297612691633,7.7067669172932325,10.059171597633137,9.868269008550959,9.640610311663893,10.099009900990099,9.702353752139599,10.098251944315772,9.210526315789473,8.41090425531915,8.86583352982787,9.784502521779,9.40374787052811,9.6045197740113,8.78463172120861,10.070137214340797,10.340871845296624,10.223815732290308,8.790807951851177,10.163652024117141,9.144581474678562,9.834630737199463,10.195080576759965,9.515480146930209,8.677966101694915,9.275304678844352,9.79431929480901,9.295920123945601,9.389467592592593,9.672204344947573,9.133782483156882,8.396056912543097,9.61559403245127,9.009812667261375,9.202571730160253,9.103968396480518,8.625073342460395,8.836462623019473,9.220363118547525,10.079014496360356,8.816471863147303,8.321052442399626,8.758520966742408,9.096307492982076,8.998570461214356,8.875346260387811,7.905896607431341,8.198826118855466,9.567806180063648,8.3309799491669,8.799958458103266,9.080301990391215,9.560953866726098,8.430589680589682,9.079541507467871,9.914057704112953,8.981447987184126,8.30487426265135,9.961928934010151,9.037942304959499,9.772859638905066,9.352591892502723,9.460989966341781,9.525168563376262,9.612063239006243,9.691654255612555,9.458543200309958
25 a 29,9.082098850892981,8.898120540051593,9.044883204072411,7.974937648275443,7.87641958725119,8.805222921317908,8.637702503681885,9.13590397105977,9.37402435216984,9.044614467408586,8.65056319601774,7.826261008807045,8.820637399502573,9.284909536748625,10.071695522843415,8.38345864661654,7.326007326007327,9.267390801941298,8.715019162629257,7.541254125412541,9.164840101306607,8.323378111514739,8.68421052631579,7.845744680851063,8.44926511042993,8.3447959651536,8.671209540034072,9.182492682594786,8.688097306689835,9.355300684235651,8.37430350704687,8.45284658843981,8.02024439175634,8.682170542635658,8.213067436368407,8.772395135730104,8.529262086513995,9.004334052436205,7.959322033898306,7.795233089969035,8.185252553518959,8.779480117059734,8.878279320987655,9.224160495157738,9.523580365736285,8.833098625746613,8.804312316236523,9.549296971241663,8.310142980520103,9.525947207757229,9.690983766868765,9.478606826272074,9.031683873264507,9.198656131400487,7.879866862760275,8.698465188167212,8.541623631481098,9.085510688836104,8.938379354450381,8.033240997229916,7.602988691437802,7.520176082171679,8.469356328919002,7.624964699237504,8.368961279490419,8.18805765271105,8.38422108312904,7.969901719901721,8.68357068426537,9.683855125844076,9.322515632267066,8.082376073683122,9.251269035532996,8.857941357586093,10.669772859638906,8.516364981200304,8.768683501092696,9.168420677107488,9.140427793277533,8.434000772243365,8.446338628438589
30 a 34,7.778722730958644,8.184528794934504,7.913350609109438,6.691404586653689,7.082671876908048,8.450037209931669,8.586156111929307,7.749732796185152,9.210115516703091,8.058426073131955,7.55608028335301,7.375900720576461,7.91543756145526,8.499569222612498,8.157272519258637,6.654135338345865,6.452521837137222,7.955858562514444,6.939041145419048,6.897689768976897,8.147901450667245,6.89470219665017,8.034055727554179,7.480053191489362,7.490371767664859,7.322329206785878,7.285633162975583,7.930025185487713,7.66483251279081,7.686940768938884,6.801048836447067,6.97522816166884,7.386467262447566,7.571059431524548,7.452112306481238,7.894492553741696,7.541984732824428,8.780829106174567,6.752542372881357,7.332178063123207,7.121869315796838,8.02203477362713,8.801118827160494,8.583657947004573,8.464870067372473,8.303792550866799,8.36327997386475,8.559534429293574,8.492467133672392,8.49344586101634,9.368276941130452,8.808543309834578,7.771448914204343,8.579605549679586,7.264494155894418,8.073038352323785,8.014872960132204,7.881667026560138,7.343315025205026,6.9252077562326875,7.249596122778676,7.079970652971386,7.853403141361256,7.1166337192883375,7.6714035968358925,7.604667124227865,6.917762424782706,7.862407862407863,7.724904480722474,8.410067526089625,7.477649733863884,7.244127082686536,7.982233502538071,7.422670645634977,10.611531741409436,7.123338332888167,7.67439263666672,7.466733259605436,7.79859173641557,7.898946439406476,7.497094149554437
35 a 39,6.54654773441981,7.715501356829374,6.825161153480823,6.356834357321005,6.069117108316034,6.6504296055747245,7.091310751104565,6.333963660281181,8.300811738994692,6.781597774244832,7.1093525638980175,6.885508406725379,6.585111920874545,7.091258532705945,5.880558309816185,5.977443609022556,5.9171597633136095,6.785879362144673,6.301250994287368,5.858085808580858,7.106952824270213,6.429041616890557,6.5015479876160995,6.482712765957446,6.767271869842019,6.5245300320953685,6.132879045996593,6.5686474712408955,6.844289989381215,6.50574684504939,5.801376597836775,6.2038244241634075,6.652380083895677,6.658053402239449,7.176594069797954,6.8786717413502725,6.9516539440203555,7.472839290226031,7.701694915254237,6.553791085480526,7.359731355813628,7.088139094508521,7.243441358024691,7.054766047206269,7.1414821944177085,6.944107220900306,7.573777632581945,6.9708168726902,7.5520583437290085,6.347638714311367,8.05789164873851,7.970963914287708,7.127091491634033,6.759783487836744,6.703305209381531,6.944394522123575,6.858087172071886,6.694018570503131,7.042359491385147,6.89196675900277,6.522617124394184,6.768158473954513,6.8165486089723855,7.427280429257271,6.786907378879407,6.60260809883322,6.124359260084689,7.294226044226044,6.689822855158041,6.775629220380601,6.960880574647304,6.064369243506158,7.00507614213198,6.930036473876178,7.6062900407687835,6.385732777218466,6.991657228540893,6.631943205736506,6.3239006244187586,6.674389100336478,7.313056954668733
40 a 44,6.22482413981791,7.521189989614392,6.684987596484595,7.543037897682341,6.313347173037001,7.222109464853528,7.260677466863035,6.171174874619748,7.348579456759288,6.4437599364069955,7.696480423753151,7.185748598879103,6.183122216438198,6.408642057127708,5.975898100831363,7.255639097744361,6.565229642152719,6.947654263924196,6.829127196471184,7.442244224422442,6.764617040886665,6.943462466782066,7.007223942208462,6.25,7.0973826927611405,6.428243924805136,6.842703009653606,7.011095228371111,6.8925571966406025,6.243803322031409,6.604392002622091,6.823120382442416,5.982126573043954,5.633074935400517,6.376279191813172,6.742079647778058,6.995759117896523,7.152158280372378,7.810169491525423,7.147524218061988,7.443682664054848,7.221552762954037,7.093942901234568,6.910037106037044,6.9297401347449465,6.735298402369737,6.865947947293913,6.8348838197187884,7.715190480760004,7.425031423954032,7.001760219049482,7.3846583374048995,6.244215023139907,6.109624836682635,6.76522950692778,6.8293734948420255,6.713488948564346,6.202763981861369,6.621021744037319,7.634349030470915,6.916397415185783,7.428466617754953,5.440919823426753,7.455521039254448,6.586121544666193,6.609471516815374,5.954981056385113,7.033169533169533,6.370267453977076,6.837016574585636,6.376931424732573,6.88192072855221,6.598984771573605,6.503718440623371,6.46476412347117,6.054940313533726,6.723667629089633,6.7354000927544515,5.048492095124219,6.166914887748911,6.3541263076327
45 a 49,6.296684532874481,7.129217059197964,6.666543707406143,7.178052192955777,6.288924166564905,6.224206751911238,6.804123711340206,6.641453588752774,7.0832032469559785,6.245031796502385,7.718816809725901,6.695356285028023,6.290126670137082,6.614089734243489,6.692853329265502,6.165413533834586,6.452521837137222,6.901432863415762,6.239062838961602,7.343234323432343,6.466428632283348,6.7411073457346955,6.5015479876160995,6.183510638297872,7.136681600251513,7.070151306740027,7.2742759795570695,6.316792594105235,6.4195385654986,5.712572065069709,6.702720419534579,7.051282051282051,5.129491154477476,4.496124031007752,5.392285489372868,6.708926227008102,6.317217981340119,6.409733154529376,6.576271186440678,6.852078065964035,6.464250734573946,6.507144086761921,6.331983024691358,7.042448690511016,7.28585178055823,7.259748458213957,6.457584667320047,6.8731149908669975,7.04346991651473,7.182618064284433,6.3759045570115385,6.958888811335242,5.033819864720541,5.7332171965407825,6.25048378357458,6.297401243664858,5.928527163809131,6.1055927445476135,6.086825671507034,6.271468144044322,6.532714054927302,6.1995597945708,4.301406426444924,6.241174809375883,6.053000536582833,6.582017844886753,5.0991753955872525,6.557125307125307,6.057658909343521,5.977593615715163,5.6327838354607,5.89361481941426,5.761421319796954,5.878451991852589,5.381479324403029,5.666618725729901,5.823988259503262,5.53672719489137,4.165005978477481,4.997517789177561,5.375823324292909
50 a 54,6.284158409314161,6.5094308017019005,5.958298366793622,5.821521990388709,5.05556233972402,5.682971382179825,5.714285714285714,6.74175779001891,6.056821729628473,5.5072535771065185,6.381824563642745,5.504403522818254,6.298802706923477,6.365564318377626,6.845396994889787,6.165413533834586,6.142575373344604,6.525883984284723,5.239713645238267,5.33003300330033,5.7864041575983824,5.8219762537484465,5.7481940144478845,6.050531914893617,6.154208912992218,5.648784961027052,6.513344690516752,5.37744197127493,5.396273771599575,4.535050246643084,5.391674860701409,6.040851803563668,4.071676089731898,3.7381567614125757,4.815009183941223,5.901308897051997,5.794741306191688,5.4807299865897035,5.3559322033898304,5.951535467742394,5.274940534489995,5.474264072990188,4.9623842592592595,5.921569231242976,6.174205967276227,6.424513184091682,5.749754982032015,5.823881738243915,6.15104116687458,6.751660980427365,6.219440641502053,5.883995253716759,4.165183339266642,5.139053070366454,5.809273163557551,5.725890514359657,4.926668043792605,5.268840423234723,5.334436836957339,4.842105263157895,6.149030694668821,6.162876008804108,3.901036854532389,4.9703473595029655,5.457566683398819,5.648592999313658,3.8689547581903274,5.528255528255528,5.0364709968739145,4.61939840392879,5.090176218283292,5.003622063541343,4.9238578680203045,4.888446781298849,3.9836924868957486,5.035852971995644,4.905166775670373,4.798259070315009,3.427660422479075,4.142534061448508,4.479852770244092
55 a 59,5.231304760586222,5.293309658615029,4.740079493161928,4.507573453373076,3.7855660031749907,4.005141736012448,4.418262150220913,5.358875277480885,4.117233843271933,4.086347376788553,5.044832317559591,4.213370696557246,5.937301174156978,5.58685134866459,6.044542750362291,4.548872180451128,4.6210200056353905,5.56678992373469,3.9959505387229735,3.6798679867986803,4.458110337456337,4.134870907184826,4.12796697626419,4.521276595744681,5.069559066257958,4.291609353507566,4.730266893810335,4.036484922741815,3.8903369051066705,3.2902064947305285,3.851196329072435,3.998261625380269,3.3375889111800108,2.7217915590008612,3.62109682498032,4.548649329637832,3.9185750636132317,4.374866382912561,4.0,4.690207664554984,3.7498251014411643,4.144431055259081,4.041280864197531,4.954656730665599,4.850818094321463,5.526149662506677,4.551889360775346,4.86385455163332,5.20103636887055,5.566528999820434,4.39076862898494,4.983597403503874,2.8622285510857957,4.174702917936913,4.706246613514978,4.439092771647317,3.635612476761,3.9678255236450006,3.9951847114588817,4.0,4.311389337641357,3.723404255319149,3.264551894056052,4.65970064953403,4.377477368320841,4.323953328757722,3.044350345442389,4.253685503685504,4.348732198680097,3.598833640270104,4.0204640587049765,3.813515471385698,4.048223350253807,3.5005447397091563,2.492719860221316,3.942799613733024,3.627430649715261,3.5175341586101103,2.657101102696958,3.1992939489216172,3.4385896939170864
60 a 64,4.208118246606409,3.983383027907132,3.461917980025268,3.747186568526066,2.930760776651606,3.0140044651918005,3.6377025036818855,4.123982570089616,3.3445207617858257,2.961049284578696,3.541912632821724,2.8122497998398717,4.9916131644398165,4.470143813373981,4.545801235603691,3.5338345864661656,2.5077486615948152,3.983706956320777,3.002386289681105,2.458745874587459,3.240572211938379,3.2401199502645244,3.2533539731682146,4.25531914893617,4.13424506798711,3.3195781751490143,3.7762634866553095,3.2673065141923625,3.6103871030022203,2.5019278553680064,3.179285480170436,3.0964797913950455,2.6627758526354186,2.1102497846683894,2.6633429546050906,3.3683875502274323,2.717557251908397,3.0727071307795466,3.064406779661017,3.445924831680918,3.064222750804533,2.969530039593734,2.9417438271604937,3.6782706431199865,3.5226179018286814,4.331568979750401,2.8912120222149627,3.5130198377299178,3.339410805105076,3.699048303106482,3.5204380989634263,3.936623159070287,2.1324314702741187,2.488645554656878,3.730938927161545,3.4793860752668846,2.778351580252014,2.942129129777586,3.2728914302911742,3.0581717451523547,4.139741518578352,3.9618488628026407,2.689662252335489,3.5300762496469926,3.231613383414398,3.507206588881263,2.2554045018943616,3.3169533169533167,2.7787426189649183,2.547575199508901,2.5063304222004033,2.845907068198282,2.474619289340102,2.6810667424565393,1.8870122306348283,2.9072753795894886,2.485284499672989,2.4865327672933537,1.8001859970771887,1.974736609851619,2.4409143742735373
