poblacion_canton,superficie_canton,densidad_poblacion,urbano,sexo,dependencia_demografica,ocupa_vivienda,promedio_ocupantes,vivienda_buen_estado,vivienda_hacinada,alfabetismo,escolaridad_promedio,educacion_regular,fuera_fuerza_trabajo,participacion_fuerza_trabajo,asegurado,extranjero,discapacidad,no_asegurado,porcentaje_jefatura_femenina,porcentaje_jefatura_compartida,edad,voto_primera_ronda,voto_segunda_ronda,es_entrenamiento,prediccion_r1,prediccion_r2,prediccion_r2_con_r1
64842.0,8.149999618530272,7956.073992024708,1,1,0,0,3.3774008350730687,2,2,1,1.0,10.21897810218975,0,1,1,1,1,0,0,7.63048,39,2,2,True,12.0,1.0,1.0
147898.0,287.7699890136719,513.9451841622491,1,2,0,1,3.8001191154383966,1,1,1,1.0,9.1931858511772,0,1,1,1,1,0,0,6.4244650000000005,49,6,1,True,12.0,1.0,1.0
94415.0,1765.7900390625,53.468984370376894,1,1,0,1,3.5168004200105,1,1,1,1.0,8.668950534759404,0,1,1,1,1,0,0,4.432611,50,7,3,True,12.0,1.0,1.0
29433.0,1930.239990234375,15.248362975023724,1,1,0,0,3.295372866127583,2,2,1,1.0,6.0860835738486765,0,1,1,1,1,0,0,8.591644,44,12,2,True,12.0,1.0,1.0
56509.0,34.490001678466804,1638.4168527101106,1,2,0,1,3.4021128886205854,1,1,1,1.0,7.646308629729352,0,1,1,1,1,0,0,8.705100999999999,44,7,1,True,12.0,1.0,1.0
29199.0,73.83999633789062,395.4360976182319,1,1,0,0,3.690235264356185,2,2,1,7.474958520248227,40.20227560050565,0,1,1,1,1,0,0,9.322034,19,12,2,True,12.0,1.0,1.0
41831.0,620.5999755859375,67.40412769192488,1,1,0,0,3.5246856274791116,2,2,1,1.0,8.025682182985545,0,1,1,1,1,0,0,6.127098999999999,29,12,2,True,12.0,1.0,1.0
16280.0,297.5,54.72268907563026,1,1,0,1,3.5765765765765765,1,1,1,1.0,6.3663307646709875,0,1,1,1,1,0,0,13.18392,49,7,1,True,12.0,1.0,1.0
29433.0,1930.239990234375,15.248362975023724,1,1,0,0,3.295372866127583,2,2,1,6.760007529175531,32.72028547900085,0,1,1,1,1,0,0,8.591644,24,2,2,True,12.0,1.0,1.0
55104.0,1312.27001953125,41.99135786069658,1,1,0,1,3.3072394112346046,1,1,1,1.0,6.22249960992354,0,1,1,1,1,0,0,4.920397,49,13,1,True,12.0,1.0,1.0
