Indice/Canton,SANJOSE,ESCAZU,DESAMPARADO,PURISCAL,TARRAZU,ASERRI,MORA,GOICOECHEA,SANTA ANA,ALAJUELITA,VAZQUEZ DE CORONADO,ACOSTA,TIBAS,MORAVIA,MONTES DE OCA,TURRUBARES,DOTA,CURRIDABAT,PEREZ ZELEDON,LEON CORTES CASTRO,ALAJUELA,SAN RAMON,GRECIA,SAN MATEO,ATENAS,NARANJO,PALMARES,POAS,OROTINA,SAN CARLOS,ZARCERO,VALVERDE VEGA,UPALA,LOS CHILES,GUATUSO,CARTAGO,PARAISO,LA UNION,JIMENEZ,TURRIALBA,ALVARADO,OREAMUNO,EL GUARCO,CENTRAL,BARVA,SANTO DOMINGO,SANTA BARBARA,SAN RAFAEL,SAN ISIDRO,BELEN,FLORES,SAN PABLO,SARAPIQUI,LIBERIA,NICOYA,SANTA CRUZ,BAGACES,CARRILLO,CAÑAS,ABANGARES,TILARAN,NANDAYURE,LA CRUZ,HOJANCHA,PUNTARENAS,ESPARZA,BUENOS AIRES,MONTES DE ORO,OSA,QUEPOS,GOLFITO,COTO BRUS,PARRITA,CORREDORES,GARABITO,CENTRAL,POCOCI,SIQUIRRES,TALAMANCA,MATINA,GUACIMO
Población total,288054.0,56509.0,208411.0,33004.0,16280.0,57892.0,26294.0,115084.0,49123.0,77603.0,60486.0,20209.0,64842.0,56919.0,49132.0,5512.0,6948.0,65206.0,134534.0,12200.0,254886.0,80566.0,76898.0,6136.0,25460.0,42713.0,34716.0,29199.0,20341.0,163745.0,12205.0,18085.0,43953.0,23735.0,15508.0,147898.0,57743.0,99399.0,14669.0,69616.0,14312.0,45473.0,41793.0,123616.0,40660.0,40072.0,36243.0,45965.0,20633.0,21633.0,20037.0,27671.0,57147.0,62987.0,50825.0,55104.0,19536.0,37122.0,26201.0,18039.0,19640.0,11121.0,19181.0,7197.0,115019.0,28644.0,45244.0,12950.0,29433.0,26861.0,39150.0,38453.0,16115.0,41831.0,17229.0,94415.0,125962.0,56786.0,30712.0,37721.0,41266.0
Superficie (km2),44.619998931884766,34.4900016784668,118.26000213623047,553.6599731445312,297.5,167.10000610351562,162.0399932861328,31.5,61.41999816894531,21.170000076293945,222.1999969482422,342.239990234375,8.149999618530273,28.6200008392334,15.15999984741211,415.2900085449219,400.2200012207031,15.949999809265137,1905.510009765625,120.80000305175781,388.42999267578125,1018.6400146484375,395.7200012207031,125.9000015258789,127.19000244140625,126.62000274658203,38.060001373291016,73.83999633789062,141.9199981689453,3347.97998046875,155.1300048828125,120.25,1580.6700439453125,1358.8599853515625,758.3200073242188,287.7699890136719,411.9100036621094,44.83000183105469,286.42999267578125,1642.6700439453125,81.05999755859375,201.30999755859375,167.69000244140625,282.6000061035156,53.79999923706055,24.84000015258789,53.209999084472656,48.38999938964844,26.959999084472656,12.149999618530273,6.960000038146973,7.53000020980835,2140.5400390625,1436.469970703125,1333.6800537109375,1312.27001953125,1273.489990234375,577.5399780273438,682.2000122070312,675.760009765625,638.3900146484375,565.5900268554688,1383.9000244140625,261.4200134277344,1842.3299560546875,216.8000030517578,2384.219970703125,244.75999450683594,1930.239990234375,543.77001953125,1753.9599609375,933.9099731445312,478.7900085449219,620.5999755859375,316.30999755859375,1765.7900390625,2403.489990234375,860.1900024414062,2809.929931640625,772.6400146484375,576.47998046875
Densidad de población,6455.7150805792835,1638.4168527101106,1762.3118234000997,59.61059422907642,54.72268907563025,346.4512141557726,162.26858238366893,3653.4603174603176,799.7883664027391,3665.706174791158,272.2142251608096,59.049206921027384,7956.073992024708,1988.7840087682055,3240.897130245492,13.272652571904501,17.360451698585884,4088.1505191067604,70.60262045883846,100.9933749320586,656.1954658654562,79.09172901263425,194.32426908619163,48.73709234021524,200.1729657307687,337.3321676945943,912.1386954116691,395.4360976182319,143.32722845574966,48.90859591611838,78.67594672751953,150.3950103950104,27.80656226665397,17.466847398453133,20.450469261283217,513.9451841622491,140.1835339919705,2217.242827127083,51.21321221623702,42.379782998172,176.56057773323585,225.88545303997893,249.22773803765187,437.4239112886636,755.7620925018721,1613.204498947042,681.1313780040293,949.8863521340074,765.3190170871842,1780.4938830621,2878.8792945660157,3674.7674938915134,26.69746837579776,43.8484627486985,38.10884016641059,41.991357860696574,15.340521048308016,64.27606990393045,38.4066249357507,26.694388154540984,30.764892227858205,19.662652225022114,13.860105254439283,27.530409419053534,62.43127058863596,132.12176935791678,18.97643697139958,52.90897324169664,15.248362975023724,49.39772152785323,22.320920016369207,41.17420426567074,33.65776167504972,67.40412769192488,54.46871781790101,53.46898437037689,52.40795697581286,66.01564751837267,10.929809905284108,48.82092473189291,71.58271127896862
Porcentaje de población urbana,100.0,99.27268222761028,93.55072428998523,23.433523209308202,50.31326781326811,71.13245353416663,45.93823686011984,98.53585207326677,93.15391975245784,98.99875004832242,96.4305789769536,12.4894848829729,100.0,99.39036174212433,100.0,13.352685050798318,30.62751871042021,100.0,48.50446727221352,40.52459016393463,87.98992490760627,52.91313953776964,61.52955863611498,26.254889178618075,56.233307148468356,53.9133284948377,80.8848945731077,57.90609267440658,51.68870753650279,47.36572109072016,43.400245800901494,37.04174730439577,21.418333219575317,20.408679165788968,17.15243745163784,88.68814994117513,76.90629167171691,96.98689121620986,52.56663712591123,57.380487244312185,62.57685858021261,87.45849185230854,87.66061302132044,99.7079666062645,91.03049680275556,100.0,87.81557818061363,90.3491787229413,94.63965492172696,100.0,100.0,100.0,18.05694087178704,81.97882102656064,44.07083128381678,48.06003193960486,46.683046683046605,62.332309681589834,79.95496355100937,30.356449914075085,50.68737270875727,20.71756137038043,37.14613419529752,24.260108378491058,71.5273128787417,74.6194665549507,37.726549376713066,68.48648648648624,38.045730982230765,52.775399277762965,46.90676883780284,22.986503003666634,53.23611542041556,51.30405679998144,73.10348830460232,71.16030291796778,59.169432050937395,53.84249638995546,23.36220369887991,50.88147185917692,48.69868657005813
Relación hombres-mujeres,89.90526294970431,89.31622499916246,92.19546833645342,100.76646997992577,98.80327268286726,95.83248765306813,93.62297496318115,89.2362081723259,91.70699344364658,92.7737480127186,93.00552027824756,102.2518014411529,87.5238591011626,88.6109086089204,87.36938448630922,107.21804511278195,95.77345731191885,88.36954009706494,94.56793694410297,101.32013201320132,97.41311874094785,96.4209961723188,98.3952528379773,103.98936170212767,100.11003694097305,95.84135717560753,97.13798977853493,98.75433939146416,96.36065257264215,100.42963633915566,100.0163880694854,96.49065623641894,100.40579974466533,104.43583118001723,103.46365783258986,96.13298500139244,95.9050042408821,93.184070899656,98.90169491525424,97.76710888895201,100.25185392472366,95.70063694267516,101.54803240740742,90.32779565505243,95.66891241578442,94.5903947943476,97.3374714145704,95.25508686971666,97.99443431532482,94.22697073083138,95.94171719147272,93.13882878481189,103.44250622997508,95.94039693896596,96.70640142425884,98.06620897882894,101.77649246023547,100.39948175340099,97.13339854036566,99.8781163434903,98.30371567043619,103.98019075568598,96.90996817575198,103.24767014967524,99.087809184221,96.59574468085106,101.66703811009583,98.86363636363636,104.4668287599861,106.11571516267648,102.31512583329028,98.97029907896099,104.50507614213198,98.14788498886836,100.68724519510775,93.98615191797991,100.93158289333057,102.58285469658593,104.0122226650724,108.0699431849523,99.85470747772182
Relación de dependencia demográfica,45.7136353289324,41.94318153274221,43.91534026171322,45.60374112145409,51.385530965222245,45.249266126401885,43.1355470876429,43.03611822317234,41.24734027258612,47.953327867914815,38.93329658213892,48.69398866897212,43.43036630684834,41.07718237247806,35.27905504006167,49.70124932102119,50.45474231268947,40.071318095892764,51.425516348697165,46.864090526062355,44.2691058107022,47.47304643883509,46.182799787088435,51.43139190523198,44.906089926010246,47.79584775086505,44.59577658378108,46.390253684949364,49.401395519647444,52.06630757800892,46.27277085330776,47.910362312914046,60.38899430740038,58.74130551096843,55.390781563126254,43.88784573924718,45.837753194928524,43.714938407263894,46.80744595676541,49.11536649102515,47.62248581743167,45.52291346646186,44.677536608162846,40.81356009431921,40.69204152249135,41.27269522298607,43.42870711148047,42.819413373104645,41.157556270096464,38.67307692307692,41.294690078273746,38.625319372776914,55.620608899297416,49.88696666111415,50.60597979079622,48.10514433155942,54.459203036053125,50.7859783094358,50.82316371172001,51.37198959469666,52.9356798006541,51.223823769377205,59.297400548127236,48.483598101918716,51.31689733200021,49.992145363146044,60.718979787574156,48.30508474576271,52.100666632215386,46.29377484886444,53.58361774744027,60.50171132815761,48.30664457942205,55.19979223092049,48.1299974206861,56.895491633015936,51.58976580739885,52.67926760411905,65.06503278512308,56.033092037228535,53.811174475381115
Viviendas individuales ocupadas,81903.0,16565.0,57355.0,9787.0,4551.0,16120.0,7782.0,32520.0,14235.0,19832.0,17155.0,5871.0,19160.0,16874.0,16589.0,1679.0,1952.0,19146.0,38508.0,3377.0,72031.0,23301.0,21709.0,1834.0,7472.0,11678.0,9657.0,7906.0,6024.0,44966.0,3333.0,5054.0,11518.0,6035.0,4409.0,38618.0,14626.0,26979.0,4113.0,20453.0,3612.0,11232.0,10831.0,35216.0,11291.0,11496.0,10107.0,12957.0,5807.0,6011.0,5751.0,8006.0,15768.0,16577.0,15038.0,16645.0,5615.0,10141.0,7172.0,5311.0,6018.0,3307.0,4732.0,2028.0,33228.0,8435.0,12205.0,3929.0,8904.0,8094.0,11576.0,10936.0,4833.0,11849.0,5313.0,26666.0,36238.0,16206.0,7999.0,10410.0,11797.0
Promedio de ocupantes,3.49998168565254,3.4021128886205854,3.6174352715543545,3.3643608868907733,3.5765765765765765,3.5866625310173696,3.376638396299152,3.5261070110701107,3.429364243062873,3.9087837837837838,3.517575051005538,3.4357009027422927,3.377400835073069,3.3595472324285884,2.9418892036891915,3.272781417510423,3.543032786885246,3.396949754517915,3.4777189155500157,3.6123778501628663,3.4939262262081603,3.4448306939616327,3.5305172969736054,3.3440567066521263,3.4059154175588864,3.6486555917109094,3.5821683752718236,3.6902352643561853,3.37433598937583,3.622425832851488,3.647764776477648,3.5694499406410762,3.8101232852925855,3.927920463960232,3.5110002268088003,3.8001191154383966,3.936688089703268,3.6714110975202936,3.562849501580355,3.397301129418667,3.9532115171650055,4.040954415954416,3.830024928446127,3.5009654702407995,3.589141794349482,3.4786012526096033,3.5846443059265853,3.542563865092228,3.538143619769244,3.5867576110464148,3.4790471222396104,3.4436672495628278,3.6026763064434295,3.7469988538336247,3.378640776699029,3.307239411234605,3.4774710596616205,3.6548663839858,3.6450083658672616,3.392393146300132,3.2555666334330344,3.352887813728455,4.052197802197802,3.548816568047337,3.438756470446611,3.389922940130409,3.702826710364605,3.288877576991601,3.295372866127583,3.315542377069434,3.374654457498272,3.5,3.3205048624043036,3.524685627479112,3.241483154526633,3.5168004200105,3.4581930570119765,3.4869184252745895,3.830353794224278,3.5892411143131606,3.4715605662456555
Porcentaje de viviendas en buen estado,63.39450325384907,74.34953214609116,66.01168163194143,64.49371615408195,66.24917600527357,62.48759305210918,68.77409406322282,68.02275522755228,76.85282753775905,57.58874546187979,73.1273681142524,60.94362118889457,70.55323590814197,78.748370273794,79.9023449273615,44.907683144729006,74.2827868852459,74.41240990285178,63.12194868598733,57.62511104530649,68.91060793269564,66.66237500536457,67.64014924685614,55.17993456924755,74.41113490364025,65.78181195410173,65.8796727762245,70.136605110043,59.943559096945556,61.07725837299293,73.92739273927393,63.45468935496636,41.604445216183365,39.834299917149956,44.70401451576321,74.14677093583303,70.77122931765349,69.66529522962304,56.69827376610746,64.88534689287636,72.39756367663345,76.66488603988604,73.24346782383898,78.15197637437528,78.62013993446108,77.57480862908838,76.3925991886811,74.12981400015435,76.61443085930773,82.49875228747297,83.01165014780038,82.33824631526355,44.67275494672755,64.5412318272305,56.31732943210533,61.91048362871733,53.2680320569902,61.650724780593634,54.75460122699386,49.65166635285257,65.90229312063809,50.71061384941034,41.61031276415892,58.08678500986193,51.062357048272546,59.38352104327208,42.74477673084801,62.53499618223467,43.227762803234505,47.837904620706695,45.050103662750516,46.479517190929045,51.43803020897993,45.987003122626376,61.45303971390928,51.14002850071252,51.824052100005524,48.22288041466123,44.13051631453932,37.12776176753122,51.44528269899127
Porcentaje de viviendas hacinadas,6.781192386115283,3.7971626924237856,4.845261964955104,2.1865740267702054,2.4609975829488024,4.435483870967742,2.9812387561038296,4.2988929889298895,3.7653670530382857,8.400564743848326,2.54153308073448,2.691194004428547,3.61169102296451,2.6134882067085456,2.0435228163240704,3.5139964264443124,2.663934426229508,4.314217068839445,3.4434403240885008,2.6058631921824107,4.310644028265608,3.441912364276211,3.2475010364365007,3.21701199563795,2.288543897216274,3.5023120397328307,2.1642331987159573,4.110801922590437,5.195883134130146,6.536049459591692,3.1803180318031803,3.2251681836169372,10.357700989755166,14.150787075393536,7.189838965751871,2.9338650370293644,4.027075071789963,4.662885948330183,1.9936785801118406,3.4420378428592384,3.1284606866002216,3.9529914529914527,2.4651463392115223,3.912994093593821,2.4001417057833674,2.940153096729297,2.9484515682200456,3.0639808597669216,2.410883416566213,2.9446015637997003,2.364806120674665,2.623032725455908,9.145104008117706,8.789286360620137,5.206809416145764,6.007810153199159,6.500445235975066,8.963613055911646,7.822085889570553,5.385049896441348,2.4759056164838817,3.7496220139098884,10.73541842772612,3.007889546351085,7.860840255206453,4.647302904564316,9.233920524375257,3.945024179180453,6.323000898472597,8.228317272053372,7.195922598479614,5.1024140453547915,6.269397889509622,7.215798801586631,12.855260681347639,8.276456911422786,6.283459352061373,5.9052202887819325,14.10176272034004,10.461095100864554,5.687886750868865
