poblacion_canton,superficie_canton,densidad_poblacion,urbano,sexo,dependencia_demografica,ocupa_vivienda,promedio_ocupantes,vivienda_buen_estado,vivienda_hacinada,alfabetismo,escolaridad_promedio,educacion_regular,fuera_fuerza_trabajo,participacion_fuerza_trabajo,asegurado,extranjero,discapacidad,no_asegurado,porcentaje_jefatura_femenina,porcentaje_jefatura_compartida,edad,voto_primera_ronda,voto_segunda_ronda,es_entrenamiento,prediccion_r1,prediccion_r2,prediccion_r2_con_r1
23735.0,1358.8599853515625,17.466847398453133,1,2,0,0,3.9279204639602323,2,2,1,5.481461385422329,30.185895544408368,0,1,1,1,1,0,22.48425133257963,7.9536039999999995,19,2,2,True,12,1,1
29199.0,73.83999633789062,395.4360976182319,1,1,0,1,3.690235264356185,1,1,1,1.0,5.739568610581946,0,1,1,1,1,0,22.827432532805148,9.322034,34,6,2,True,12,1,1
56786.0,860.1900024414062,66.01564751837267,1,1,0,0,3.486918425274589,2,2,1,6.5468080696421485,31.502699855129638,0,1,1,1,1,0,25.01812031891762,6.590152000000001,24,12,2,True,12,1,1
26861.0,543.77001953125,49.39772152785322,1,2,0,0,3.315542377069433,2,2,1,7.379424778761088,30.82929456112005,0,1,1,1,1,0,24.602307225258087,8.042995,24,6,2,True,12,1,1
69616.0,1642.6700439453125,42.379782998172004,1,2,0,0,3.397301129418667,2,2,1,1.0,8.232810615198977,0,1,1,1,1,0,26.536796536796647,8.272625,34,12,1,True,12,1,1
55104.0,1312.27001953125,41.99135786069658,1,2,0,0,3.3072394112346046,2,2,1,1.0,6.22249960992354,0,1,1,1,1,0,31.738437001594814,4.920397,44,13,1,True,12,1,1
15508.0,758.3200073242188,20.450469261283214,1,1,0,1,3.5110002268088003,1,1,1,5.990419765536357,29.579579579579555,0,1,1,1,1,0,22.414943295530406,7.870265,19,12,2,True,12,1,1
80566.0,1018.6400146484376,79.09172901263425,1,2,0,0,3.4448306939616327,2,2,1,1.0,8.569971847221291,0,1,1,1,1,0,28.35305512275248,8.282906,50,11,1,True,12,1,1
147898.0,287.7699890136719,513.9451841622491,1,1,0,1,3.8001191154383966,1,1,1,1.0,9.1931858511772,0,1,1,1,1,0,28.695346089055352,6.4244650000000005,29,2,1,True,12,1,1
27671.0,7.53000020980835,3674.767493891514,1,2,0,1,3.443667249562828,1,1,1,1.0,10.626286386356904,0,1,1,1,1,0,32.50366032210828,11.25406,34,12,1,True,12,1,1
134534.0,1905.510009765625,70.60262045883846,1,1,0,0,3.477718915550016,2,2,1,7.260107930946789,45.126721320259286,0,1,1,1,1,0,29.284226228749084,7.75683,24,13,2,True,12,1,1
254886.0,388.42999267578125,656.1954658654562,1,2,0,0,3.4939262262081603,2,2,1,8.685943796898169,43.175358199431436,0,1,1,1,1,0,28.237106095300565,7.612,24,2,1,True,12,1,1
57892.0,167.10000610351562,346.4512141557726,1,2,0,0,3.5866625310173696,2,2,1,1.0,7.239973865156706,0,1,1,1,1,0,29.966968436505915,5.849876,50,2,2,True,12,1,1
20341.0,141.9199981689453,143.32722845574966,1,2,0,0,3.3743359893758305,2,2,1,1.0,6.6293999475936785,0,1,1,1,1,0,27.822251266132984,5.079681,50,12,1,True,12,1,1
94415.0,1765.7900390625,53.468984370376894,1,2,0,0,3.5168004200105,2,2,1,1.0,8.668950534759404,0,1,1,1,1,0,32.681429997412245,4.432611,50,12,2,True,12,1,1
134534.0,1905.510009765625,70.60262045883846,1,1,0,0,3.477718915550016,2,2,1,1.0,6.987257367276058,0,1,1,1,1,0,29.284226228749084,7.75683,50,15,1,True,12,1,1
56786.0,860.1900024414062,66.01564751837267,1,1,0,0,3.486918425274589,2,2,1,1.0,6.321680254248968,0,1,1,1,1,0,25.01812031891762,6.590152000000001,39,12,2,True,12,1,1
125962.0,2403.489990234375,52.40795697581285,1,2,0,0,3.4581930570119765,2,2,1,1.0,6.901055672510995,0,1,1,1,1,0,26.491717949413143,6.253104,50,13,3,True,12,1,1
115019.0,1842.3299560546875,62.43127058863596,1,1,0,0,3.438756470446611,2,2,1,1.0,7.345052928052697,0,1,1,1,1,0,29.885942823285212,4.812207,44,13,1,True,12,1,1
